NR_159254	Nioella
NR_159253	Mangrovitalea
NR_159252	Sphingobium
NR_159251	Sphingobium
NR_159250	Nitrincola
NR_159249	Nitrincola
NR_159248	Sphingomonas
NR_159247	Sphingomonas
NR_159246	Rhodosalinus
NR_159245	Colwellia
NR_159244	Undibacterium
NR_159243	Polynucleobacter
NR_159242	Actibacterium
NR_159241	Paraferrimonas
NR_159240	Aurantimonas
NR_159239	Rhodoplanes
NR_159238	Rhodoplanes
NR_159237	Gemmobacter
NR_159236	Desulfonatronum
NR_159235	Franconibacter
NR_159234	Oceaniglobus
NR_159233	Bradyrhizobium
NR_159232	Tuwongella
NR_159231	Enterococcus
NR_159230	Lactobacillus
NR_159229	Paenibacillus
NR_159228	Streptococcus
NR_159227	Monoglobus
NR_159226	Floricoccus
NR_159225	Floricoccus
NR_159224	Clostridium
NR_159223	Paenibacillus
NR_159222	Paenibacillus
NR_159221	Shewanella
NR_159220	Maribacter
NR_159219	Ravibacter
NR_159218	Rurimicrobium
NR_159217	Soonwooa
NR_159216	Changchengzhania
NR_159215	Flavobacterium
NR_159214	Tenacibaculum
NR_159213	Larkinella
NR_159212	Frondibacter
NR_159211	Spirosoma
NR_159210	Spirosoma
NR_159209	Winogradskyella
NR_159208	Nitrosopumilus
NR_159207	Nitrosopumilus
NR_159206	Nitrosopumilus
NR_159205	Leucobacter
NR_159204	Nocardioides
NR_159203	Streptomyces
NR_159202	Gordonia
NR_159201	Verrucosispora
NR_159200	Nonomuraea
NR_159199	Kocuria
NR_159198	Streptomyces
NR_159197	Mycobacterium
NR_159196	Mycobacterium
NR_159195	Frankia
NR_159194	Streptomyces
NR_159193	Spirosoma
NR_159192	Siccirubricoccus
NR_159191	Altererythrobacter
NR_159190	Oceanibaculum
NR_159189	Roseomonas
NR_159188	Psychrosphaera
NR_159187	Planktotalea
NR_159186	Marinomonas
NR_159185	Acidocella
NR_159184	Paracoccus
NR_159183	Paraglaciecola
NR_159182	Salsuginimonas
NR_159181	Quisquiliibacterium
NR_159180	Phenylobacterium
NR_159179	Caldovatus
NR_159178	Ciceribacter
NR_159177	Lysobacter
NR_159176	Ruegeria
NR_159175	Ruegeria
NR_159174	Ramlibacter
NR_159173	Marinobacter
NR_159172	Gellertiella
NR_159171	Phaeobacter
NR_159170	Ancylobacter
NR_159169	Porphyrobacter
NR_159168	Photobacterium
NR_159167	Ancylobacter
NR_159166	Ramlibacter
NR_159165	Pedobacter
NR_159164	Asprobacter
NR_159163	Sphingomonas
NR_159162	Wohlfahrtiimonas
NR_159161	Massilia
NR_159160	Paracoccus
NR_159159	Ponticoccus
NR_159158	Chitinimonas
NR_159157	Izhakiella
NR_159156	Neisseria
NR_159155	Halomonas
NR_159154	Aridibacter
NR_159153	Deinococcus
NR_159152	Aeribacillus
NR_159151	Cohnella
NR_159150	Anoxynatronum
NR_159149	Paenibacillus
NR_159148	Bacillus
NR_159147	Caecibacterium
NR_159146	Rhabdanaerobium
NR_159145	Salirhabdus
NR_159144	Psychrobacillus
NR_159143	Bacillus
NR_159142	Desertibacillus
NR_159141	Paenibacillus
NR_159140	Streptococcus
NR_159139	Seonamhaeicola
NR_159138	Hymenobacter
NR_159137	Pedobacter
NR_159136	Sphingobacterium
NR_159135	Sabulilitoribacter
NR_159134	Kordia
NR_159133	Polaribacter
NR_159132	Hymenobacter
NR_159131	Parapedobacter
NR_159130	Sediminibacterium
NR_159129	Flavobacterium
NR_159128	Puia
NR_159127	Sphingobacterium
NR_159126	Tenacibaculum
NR_159125	Arenibacter
NR_159124	Dokdonia
NR_159123	Edaphobaculum
NR_159122	Flavobacterium
NR_159121	Flavobacterium
NR_159120	Flavobacterium
NR_159119	Pseudomonas
NR_159118	Bacteroides
NR_159117	Bacteroides
NR_159116	Haloplanus
NR_159115	Lentzea
NR_159114	Streptomyces
NR_159113	Kineococcus
NR_159112	Kineococcus
NR_159111	Nonomuraea
NR_159110	Lechevalieria
NR_159109	Arthrobacter
NR_159108	Marmoricola
NR_159107	Mycobacterium
NR_159106	Spirosoma
NR_159105	Spirosoma
NR_159104	Spirosoma
NR_159103	Sinirhodobacter
NR_159102	Pseudopropionibacterium
NR_159101	Pseudomonas
NR_159100	Pleomorphomonas
NR_159099	Plantactinospora
NR_159098	Planctopirus
NR_159097	Novimethylophilus
NR_159096	Macrococcus
NR_159095	Macrococcus
NR_159094	Macrococcus
NR_159093	Macrococcus
NR_159092	Lactobacillus
NR_159091	Kribbella
NR_159090	Hymenobacter
NR_159089	Coralloluteibacterium
NR_159088	Aquincola
NR_159087	Lactobacillus
NR_159086	Pectobacterium
NR_159085	Pectobacterium
NR_159084	Pectobacterium
NR_159083	Pectobacterium
NR_159082	Lactobacillus
NR_159081	Gordonia
NR_159080	Polynucleobacter
NR_159079	Neisseria
NR_159078	Flavobacterium
NR_159077	Ezakiella
NR_159076	Ornithinimicrobium
NR_159075	Corynebacterium
NR_158155	Aquicoccus
NR_158154	Amylibacter
NR_158153	Aestuariicoccus
NR_158149	Elstera
NR_158148	Marivibrio
NR_158147	Dyella
NR_158146	Erythrobacter
NR_158145	Hydrogenophaga
NR_158144	Loktanella
NR_158143	Microbulbifer
NR_158142	Massilia
NR_158141	Sphingomonas
NR_158140	Sphingomonas
NR_158139	Sphingomonas
NR_158138	Hydrogenophaga
NR_158137	Roseomonas
NR_158136	Alteromonas
NR_158135	Hyphococcus
NR_158134	Rhizobium
NR_158133	Sphingomonas
NR_158132	Catenovulum
NR_158131	Parasphingopyxis
NR_158130	Agaribacterium
NR_158129	Limibaculum
NR_158128	Altererythrobacter
NR_158127	Endozoicomonas
NR_158126	Pontibacterium
NR_158125	Agarilytica
NR_158124	Ramlibacter
NR_158123	Oryzisolibacter
NR_158122	Consotaella
NR_158121	Thalassotalea
NR_158120	Hydrogenophaga
NR_158119	Edaphobacter
NR_158118	Petrothermobacter
NR_158117	Luteolibacter
NR_158116	Marispirochaeta
NR_158115	Borrelia
NR_158114	Mycoplasma
NR_158113	Anaerotignum
NR_158112	Chryseomicrobium
NR_158111	Paludicola
NR_158110	Paralkalibacillus
NR_158109	Lentibacillus
NR_158108	Lactobacillus
NR_158106	Croceitalea
NR_158105	Flavimarina
NR_158104	Spirosoma
NR_158103	Algoriphagus
NR_158102
NR_158101
NR_158100	Williamwhitmania
NR_158099	Hymenobacter
NR_158098	Salinimicrobium
NR_158097	Crocinitomix
NR_158096	Polaribacter
NR_158095	Confluentibacter
